dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1852-02-01,26.035999999999998,1.214,Alagoinhas,Brazil,12.05S,37.81W
1852-03-01,25.785,1.8869999999999998,Alagoinhas,Brazil,12.05S,37.81W
1852-04-01,25.259,1.3130000000000002,Alagoinhas,Brazil,12.05S,37.81W
1852-05-01,25.158,1.159,Alagoinhas,Brazil,12.05S,37.81W
1852-06-01,24.08,1.254,Alagoinhas,Brazil,12.05S,37.81W
1852-07-01,23.658,1.344,Alagoinhas,Brazil,12.05S,37.81W
1852-08-01,22.94,1.133,Alagoinhas,Brazil,12.05S,37.81W
1852-09-01,23.717,1.135,Alagoinhas,Brazil,12.05S,37.81W
1852-10-01,24.627,1.048,Alagoinhas,Brazil,12.05S,37.81W
1852-11-01,25.193,1.55,Alagoinhas,Brazil,12.05S,37.81W
1852-12-01,26.738000000000003,1.646,Alagoinhas,Brazil,12.05S,37.81W
1853-01-01,25.964000000000002,1.328,Alagoinhas,Brazil,12.05S,37.81W
1853-02-01,25.504,1.3980000000000001,Alagoinhas,Brazil,12.05S,37.81W
1853-03-01,25.41,1.504,Alagoinhas,Brazil,12.05S,37.81W
1853-04-01,25.541999999999998,1.442,Alagoinhas,Brazil,12.05S,37.81W
1853-05-01,24.708,1.065,Alagoinhas,Brazil,12.05S,37.81W
1853-06-01,24.008000000000006,1.13,Alagoinhas,Brazil,12.05S,37.81W
1853-07-01,23.92,1.1440000000000001,Alagoinhas,Brazil,12.05S,37.81W
1853-08-01,23.863000000000003,1.2429999999999999,Alagoinhas,Brazil,12.05S,37.81W
1853-09-01,24.372,1.224,Alagoinhas,Brazil,12.05S,37.81W
1853-10-01,24.781,1.095,Alagoinhas,Brazil,12.05S,37.81W
1853-11-01,25.593000000000004,1.7309999999999999,Alagoinhas,Brazil,12.05S,37.81W
1853-12-01,25.71,1.327,Alagoinhas,Brazil,12.05S,37.81W
1854-01-01,25.249000000000002,1.577,Alagoinhas,Brazil,12.05S,37.81W
1854-02-01,25.816000000000006,1.53,Alagoinhas,Brazil,12.05S,37.81W
1854-03-01,25.939,1.381,Alagoinhas,Brazil,12.05S,37.81W
1854-04-01,25.753,1.245,Alagoinhas,Brazil,12.05S,37.81W
1854-05-01,24.963,1.094,Alagoinhas,Brazil,12.05S,37.81W
1854-06-01,23.891,1.396,Alagoinhas,Brazil,12.05S,37.81W
1854-07-01,23.927,1.3319999999999999,Alagoinhas,Brazil,12.05S,37.81W
1854-08-01,23.684,1.2990000000000002,Alagoinhas,Brazil,12.05S,37.81W
1854-09-01,24.123,1.121,Alagoinhas,Brazil,12.05S,37.81W
1854-10-01,25.982,1.141,Alagoinhas,Brazil,12.05S,37.81W
1854-11-01,25.767,1.151,Alagoinhas,Brazil,12.05S,37.81W
1854-12-01,26.03,1.959,Alagoinhas,Brazil,12.05S,37.81W
1855-01-01,26.783,1.745,Alagoinhas,Brazil,12.05S,37.81W
1855-02-01,26.713,1.463,Alagoinhas,Brazil,12.05S,37.81W
1855-03-01,26.558000000000003,1.1909999999999998,Alagoinhas,Brazil,12.05S,37.81W
1855-04-01,26.305,1.3330000000000002,Alagoinhas,Brazil,12.05S,37.81W
1855-05-01,25.171999999999997,1.247,Alagoinhas,Brazil,12.05S,37.81W
1855-06-01,24.409,1.645,Alagoinhas,Brazil,12.05S,37.81W
1855-07-01,23.42,1.375,Alagoinhas,Brazil,12.05S,37.81W
1855-08-01,23.614,1.2009999999999998,Alagoinhas,Brazil,12.05S,37.81W
1855-09-01,23.696,1.013,Alagoinhas,Brazil,12.05S,37.81W
1855-10-01,24.928,1.492,Alagoinhas,Brazil,12.05S,37.81W
1855-11-01,25.373,1.213,Alagoinhas,Brazil,12.05S,37.81W
1855-12-01,24.748,1.8459999999999999,Alagoinhas,Brazil,12.05S,37.81W
1856-01-01,25.8,1.43,Alagoinhas,Brazil,12.05S,37.81W
1856-02-01,25.406,1.557,Alagoinhas,Brazil,12.05S,37.81W
1856-03-01,25.566,1.2009999999999998,Alagoinhas,Brazil,12.05S,37.81W
1856-04-01,25.666,1.207,Alagoinhas,Brazil,12.05S,37.81W
1856-05-01,24.639,1.445,Alagoinhas,Brazil,12.05S,37.81W
1856-06-01,23.943,1.4809999999999999,Alagoinhas,Brazil,12.05S,37.81W
1856-07-01,22.840999999999998,1.274,Alagoinhas,Brazil,12.05S,37.81W
1856-08-01,22.864,1.444,Alagoinhas,Brazil,12.05S,37.81W
1856-09-01,23.151,1.327,Alagoinhas,Brazil,12.05S,37.81W
1856-10-01,23.886999999999997,1.1440000000000001,Alagoinhas,Brazil,12.05S,37.81W
1856-11-01,24.983,1.227,Alagoinhas,Brazil,12.05S,37.81W
1856-12-01,25.356,1.609,Alagoinhas,Brazil,12.05S,37.81W
1857-01-01,25.669,1.443,Alagoinhas,Brazil,12.05S,37.81W
1857-02-01,25.979000000000006,1.574,Alagoinhas,Brazil,12.05S,37.81W
1857-03-01,25.693,1.301,Alagoinhas,Brazil,12.05S,37.81W
1857-04-01,24.328000000000003,1.171,Alagoinhas,Brazil,12.05S,37.81W
1857-05-01,23.845,1.195,Alagoinhas,Brazil,12.05S,37.81W
1857-06-01,23.22,1.148,Alagoinhas,Brazil,12.05S,37.81W
1857-07-01,23.349,1.2890000000000001,Alagoinhas,Brazil,12.05S,37.81W
1857-08-01,22.923000000000002,1.271,Alagoinhas,Brazil,12.05S,37.81W
1857-09-01,23.465,1.135,Alagoinhas,Brazil,12.05S,37.81W
1857-10-01,24.601,1.442,Alagoinhas,Brazil,12.05S,37.81W
1857-11-01,25.633000000000003,1.5430000000000001,Alagoinhas,Brazil,12.05S,37.81W
1857-12-01,26.344,1.435,Alagoinhas,Brazil,12.05S,37.81W
1858-01-01,26.074,1.825,Alagoinhas,Brazil,12.05S,37.81W
1858-02-01,25.883000000000006,1.173,Alagoinhas,Brazil,12.05S,37.81W
1858-03-01,26.059,1.308,Alagoinhas,Brazil,12.05S,37.81W
1858-04-01,25.372,1.837,Alagoinhas,Brazil,12.05S,37.81W
1858-05-01,25.004,1.287,Alagoinhas,Brazil,12.05S,37.81W
1858-06-01,23.378,1.331,Alagoinhas,Brazil,12.05S,37.81W
1858-07-01,22.728,1.244,Alagoinhas,Brazil,12.05S,37.81W
1858-08-01,22.465999999999998,1.386,Alagoinhas,Brazil,12.05S,37.81W
1858-09-01,22.4,2.294,Alagoinhas,Brazil,12.05S,37.81W
1858-10-01,24.202,1.551,Alagoinhas,Brazil,12.05S,37.81W
1858-11-01,25.494,1.4769999999999999,Alagoinhas,Brazil,12.05S,37.81W
1858-12-01,24.506,1.483,Alagoinhas,Brazil,12.05S,37.81W
1859-01-01,25.612,1.466,Alagoinhas,Brazil,12.05S,37.81W
1859-02-01,25.930000000000003,1.5290000000000001,Alagoinhas,Brazil,12.05S,37.81W
1859-03-01,26.721,1.3459999999999999,Alagoinhas,Brazil,12.05S,37.81W
1859-04-01,26.589000000000002,1.3869999999999998,Alagoinhas,Brazil,12.05S,37.81W
1859-05-01,25.093000000000004,1.179,Alagoinhas,Brazil,12.05S,37.81W
1859-06-01,23.647,1.331,Alagoinhas,Brazil,12.05S,37.81W
1859-07-01,22.467,1.5130000000000001,Alagoinhas,Brazil,12.05S,37.81W
1859-08-01,22.724,1.2329999999999999,Alagoinhas,Brazil,12.05S,37.81W
1859-09-01,23.462,1.0390000000000001,Alagoinhas,Brazil,12.05S,37.81W
1859-10-01,24.71,1.2309999999999999,Alagoinhas,Brazil,12.05S,37.81W
1859-11-01,25.61,1.474,Alagoinhas,Brazil,12.05S,37.81W
1859-12-01,25.462,1.504,Alagoinhas,Brazil,12.05S,37.81W
1860-01-01,26.006999999999998,1.3719999999999999,Alagoinhas,Brazil,12.05S,37.81W
1860-02-01,26.035,1.307,Alagoinhas,Brazil,12.05S,37.81W
1860-03-01,25.369,1.8090000000000002,Alagoinhas,Brazil,12.05S,37.81W
1860-04-01,25.743000000000002,1.3869999999999998,Alagoinhas,Brazil,12.05S,37.81W
1860-05-01,24.868,1.198,Alagoinhas,Brazil,12.05S,37.81W
1860-06-01,24.375999999999998,1.348,Alagoinhas,Brazil,12.05S,37.81W
1860-07-01,23.61,1.208,Alagoinhas,Brazil,12.05S,37.81W
1860-08-01,24.151999999999997,1.45,Alagoinhas,Brazil,12.05S,37.81W
1860-09-01,24.982,1.685,Alagoinhas,Brazil,12.05S,37.81W
1860-10-01,25.346,1.319,Alagoinhas,Brazil,12.05S,37.81W
1860-11-01,25.049,1.208,Alagoinhas,Brazil,12.05S,37.81W
1860-12-01,24.788,1.659,Alagoinhas,Brazil,12.05S,37.81W
1861-01-01,25.074,1.819,Alagoinhas,Brazil,12.05S,37.81W
1861-02-01,25.936999999999998,1.3319999999999999,Alagoinhas,Brazil,12.05S,37.81W
1861-03-01,25.811,1.271,Alagoinhas,Brazil,12.05S,37.81W
1861-04-01,25.326999999999998,1.217,Alagoinhas,Brazil,12.05S,37.81W
1861-05-01,24.694000000000003,1.206,Alagoinhas,Brazil,12.05S,37.81W
1861-06-01,23.679,1.463,Alagoinhas,Brazil,12.05S,37.81W
1861-07-01,22.776,1.511,Alagoinhas,Brazil,12.05S,37.81W
1861-08-01,23.378,1.092,Alagoinhas,Brazil,12.05S,37.81W
1861-09-01,23.899,1.053,Alagoinhas,Brazil,12.05S,37.81W
1861-10-01,24.474,1.046,Alagoinhas,Brazil,12.05S,37.81W
1861-11-01,25.298000000000002,1.635,Alagoinhas,Brazil,12.05S,37.81W
